A2_EDAD_1,A3_SEXO_1,ZONA,COD_REGION,POND_USO,grupo_etario,zona_desc,sexo_desc
70.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
78.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
40.0,2.0,1.0,5.0,1.22298,30-44,Urbana,Mujer
35.0,1.0,1.0,5.0,1.8983,30-44,Urbana,Hombre
26.0,2.0,1.0,13.0,4.46594,18-29,Urbana,Mujer
28.0,2.0,2.0,11.0,0.2616,18-29,Rural,Mujer
35.0,2.0,2.0,11.0,0.24189,30-44,Rural,Mujer
92.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
69.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
55.0,1.0,2.0,11.0,0.17865,45-59,Rural,Hombre
65.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
78.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
52.0,1.0,1.0,13.0,5.74333,45-59,Urbana,Hombre
37.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
68.0,2.0,1.0,13.0,6.93201,60+,Urbana,Mujer
51.0,1.0,1.0,13.0,4.12944,45-59,Urbana,Hombre
63.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
75.0,1.0,1.0,13.0,3.04984,60+,Urbana,Hombre
54.0,1.0,1.0,13.0,4.12944,45-59,Urbana,Hombre
67.0,2.0,1.0,11.0,0.16529,60+,Urbana,Mujer
46.0,2.0,1.0,11.0,0.2238,45-59,Urbana,Mujer
52.0,1.0,1.0,11.0,0.31127,45-59,Urbana,Hombre
66.0,1.0,2.0,11.0,0.2773,60+,Rural,Hombre
68.0,1.0,2.0,11.0,0.17865,60+,Rural,Hombre
43.0,2.0,2.0,11.0,0.24189,30-44,Rural,Mujer
53.0,1.0,1.0,11.0,0.2238,45-59,Urbana,Hombre
74.0,1.0,1.0,5.0,0.90324,60+,Urbana,Hombre
59.0,1.0,1.0,5.0,0.90324,45-59,Urbana,Hombre
88.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
65.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
44.0,1.0,1.0,5.0,1.22298,30-44,Urbana,Hombre
49.0,1.0,1.0,6.0,0.65249,45-59,Urbana,Hombre
46.0,1.0,1.0,6.0,0.65249,45-59,Urbana,Hombre
48.0,2.0,2.0,16.0,0.33944,45-59,Rural,Mujer
45.0,2.0,2.0,16.0,0.52688,45-59,Rural,Mujer
52.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
49.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
57.0,1.0,2.0,16.0,0.38913,45-59,Rural,Hombre
30.0,2.0,2.0,16.0,0.3671,30-44,Rural,Mujer
32.0,2.0,2.0,16.0,0.56981,30-44,Rural,Mujer
90.0,2.0,2.0,16.0,0.33944,60+,Rural,Mujer
60.0,2.0,2.0,16.0,0.2507,60+,Rural,Mujer
39.0,1.0,2.0,11.0,0.2616,30-44,Rural,Hombre
72.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
37.0,2.0,1.0,11.0,0.2238,30-44,Urbana,Mujer
78.0,2.0,1.0,5.0,0.90324,60+,Urbana,Mujer
47.0,1.0,1.0,11.0,0.48315,45-59,Urbana,Hombre
66.0,2.0,1.0,5.0,0.90324,60+,Urbana,Mujer
72.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
36.0,2.0,1.0,5.0,1.22298,30-44,Urbana,Mujer
74.0,2.0,1.0,5.0,0.90324,60+,Urbana,Mujer
47.0,1.0,1.0,11.0,0.31127,45-59,Urbana,Hombre
57.0,1.0,1.0,11.0,0.2238,45-59,Urbana,Hombre
62.0,1.0,1.0,5.0,0.90324,60+,Urbana,Hombre
55.0,1.0,1.0,11.0,0.2238,45-59,Urbana,Hombre
40.0,2.0,1.0,11.0,0.31127,30-44,Urbana,Mujer
74.0,2.0,1.0,11.0,0.16529,60+,Urbana,Mujer
78.0,2.0,1.0,11.0,0.16529,60+,Urbana,Mujer
36.0,2.0,1.0,11.0,0.2238,30-44,Urbana,Mujer
57.0,2.0,1.0,11.0,0.16529,45-59,Urbana,Mujer
